Date,Set,Order,LayingDate,Age,TofDay,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,Stimulus,MinTo30y30,TestEggs,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,FirstHatch(s),FirstHatch(cycles),FirstHatch(s)600,EPPBK,EP3m,PropH,DorsalIMG1,DorsalIMG2,DorsalIMG3,TadLength1,TadLength2,TadLength3
20160706,10,29,20160701,5,5dAM,Y,7,9,30,7.158333333,127.1583333,C256,2,15,c,30,15,7,14,30,7.241666667,434.5,127.2416667,7,14,47,7.246388889,434.7833333,0.283333333,8.5,0.283333333,0,0,1,5146,5147,5148,1.157,1.13,1.149
20160706,10,30,20160701,5,5dAM,Y,7,17,10,7.286111111,127.2861111,C256,1,15,s,3.529411765,14,7,23,20,7.388888889,443.3333333,127.3888889,7,23,56,7.398888889,443.9333333,0.6,2.117647059,0.6,12,12,0.142857143,5149,5150,5150,1.166,1.109,1.147
20160706,11,31,20160701,5,5dAM,Y,7,35,50,7.597222222,127.5972222,C266,2,15,s,3.529411765,15,7,40,50,7.680555556,460.8333333,127.6805556,NA,NA,NA,NA,NA,NA,NA,600,15,15,0,5152,5153,5154,1.247,1.171,1.184
20160706,11,32,20160701,5,5dAM,Y,7,53,30,7.891666667,127.8916667,C266,1,15,f,100,15,7,59,10,7.986111111,479.1666667,127.9861111,8,3,20,8.055555556,483.3333333,4.166666667,416.6666667,4.166666667,14,14,0.066666667,5155,5156,5157,1.132,1.157,1.143
20160706,11,33,20160701,5,5dAM,Y,8,15,20,8.255555556,128.2555556,C255,3,11,c,30,11,8,21,10,8.352777778,501.1666667,128.3527778,8,22,1,8.366944444,502.0166667,0.85,25.5,0.85,10,10,0.090909091,5158,5160,5161,1.128,1.167,1.132
20160707,12,34,20160702,5,5dAM,Y,5,58,4,5.967777778,125.9677778,C288,1,11,c,30,9,6,3,45,6.0625,363.75,126.0625,6,4,9,6.069166667,364.15,0.4,12,0.4,0,0,1,5179,5180,5182,1.126,1.17,1.164
20160707,12,35,20160702,5,5dAM,Y,6,15,10,6.252777778,126.2527778,C283,1,12,s,3.529411765,12,6,21,10,6.352777778,381.1666667,126.3527778,NA,NA,NA,NA,NA,NA,NA,600,12,12,0,5183,5184,5185,1.04,1.05,1.081
20160707,12,36,20160702,5,5dAM,Y,6,33,45,6.5625,126.5625,C287,1,12,f,100,11,6,40,10,6.669444444,400.1666667,126.6694444,NA,NA,NA,NA,NA,NA,NA,600,11,10,0.090909091,5186,5187,5188,1.172,1.207,1.215
20160707,13,37,20160702,5,5dAM,Y,6,56,13,6.936944444,126.9369444,C291,4,14,s,3.529411765,14,7,2,25,7.040277778,422.4166667,127.0402778,NA,NA,NA,NA,NA,NA,NA,600,14,14,0,5189,5191,5192,1.023,1.012,1.105
20160707,13,38,20160702,5,5dAM,Y,7,17,28,7.291111111,127.2911111,C291,3,14,c,30,13,7,24,50,7.413888889,444.8333333,127.4138889,7,25,50,7.430555556,445.8333333,1,30,1,12,12,0.076923077,5193,5194,5195,1.116,1.093,1.097
20160707,13,39,20160702,5,5dAM,Y,7,38,45,7.645833333,127.6458333,C291,1,14,f,100,14,7,44,17,7.738055556,464.2833333,127.7380556,NA,NA,NA,NA,NA,NA,NA,600,14,14,0,5196,5197,5199,1.087,1.025,1.093
20160707,14,40,20160702,5,5dAM,Y,7,58,2,7.967222222,127.9672222,C281,1,10,f,100,9,8,5,37,8.093611111,485.6166667,128.0936111,NA,NA,NA,NA,NA,NA,NA,600,9,9,0,5200,5202,5203,1.217,1.189,1.214
20160707,14,41,20160702,5,5dAM,Y,8,19,5,8.318055556,128.3180556,C283,2,12,s,3.529411765,11,8,24,40,8.411111111,504.6666667,128.4111111,8,28,0,8.466666667,508,3.333333333,11.76470588,3.333333333,11,11,0,5204,5206,5208,1.102,1.049,1.1
20160707,14,42,20160702,5,5dAM,Y,8,36,20,8.605555556,128.6055556,C285,3,13,c,30,13,8,43,5,8.718055556,523.0833333,128.7180556,8,43,22,8.722777778,523.3666667,0.283333333,8.5,0.283333333,8,8,0.384615385,5209,5210,5211,1.128,1.125,1.124
20160708,15,43,20160702,6,6dAM,Y,9,13,30,9.225,153.225,C277,2,3,s,3.529411765,2,9,18,30,9.308333333,558.5,153.3083333,9,19,16,9.321111111,559.2666667,0.766666667,2.705882353,0.766666667,0,0,1,5275,5276,5277,1.24,1.205,1.265
20160708,15,44,20160702,6,6dAM,Y,9,21,20,9.355555556,153.3555556,C285,2,3,f,100,3,9,26,25,9.440277778,566.4166667,153.4402778,NA,NA,NA,NA,NA,NA,NA,600,2,1,0.666666667,5278,5279,5280,1.201,1.218,1.236
20160708,15,45,20160702,6,6dAM,Y,9,36,50,9.613888889,153.6138889,C278,1,2,c,30,2,9,41,50,9.697222222,581.8333333,153.6972222,9,42,10,9.702777778,582.1666667,0.333333333,10,0.333333333,0,0,1,5283,5290,NA,1.267,1.283,NA
20160713,16,47,20160707,6,6dAM,Y,9,10,5,9.168055556,153.1680556,C343,1,7,c,30,3,9,16,0,9.266666667,556,153.2666667,9,16,18,9.271666667,556.3,0.3,9,0.3,0,0,1,5437,5441,5443,1.232,1.241,1.173
20160713,16,48,20160707,6,6dAM,Y,9,18,20,9.305555556,153.3055556,C343,2,6,s,3.529411765,1,9,23,21,9.389166667,563.35,153.3891667,9,23,59,9.399722222,563.9833333,0.633333333,2.235294118,0.633333333,0,0,1,5445,5446,5447,1.21,1.162,1.228
20160713,16,49,20160707,6,6dAM,Y,9,33,40,9.561111111,153.5611111,C342,3,3,f,100,2,9,40,53,9.681388889,580.8833333,153.6813889,NA,NA,NA,NA,NA,NA,NA,600,2,2,0,5450,5454,5455,1.186,1.172,1.208
20160708,17,46,20160702,6,6dAM,N,9,46,50,9.780555556,153.7805556,C290,2,3,s,3.529411765,2,9,53,10,9.886111111,593.1666667,153.8861111,9,54,43,9.911944444,594.7166667,1.55,5.470588235,1.55,1,1,0.5,5291,5292,5293,1.22,1.204,1.174
20160714,17,50,20160708,6,6dAM,N,9,4,45,9.079166667,153.0791667,C353,2,5,c,30,1,9,10,0,9.166666667,550,153.1666667,NA,NA,NA,NA,NA,NA,NA,600,1,0,1,5523,5526,5528,1.219,1.234,1.286
20160714,17,51,20160708,6,6dAM,N,9,19,23,9.323055556,153.3230556,C353,1,1,f,100,1,9,24,50,9.413888889,564.8333333,153.4138889,9,25,13,9.420277778,565.2166667,0.383333333,38.33333333,0.383333333,0,0,1,5530,5531,5534,1.258,1.26,1.203
20160718,18,52,20160712,6,6dAM,Y,9,3,10,9.052777778,153.0527778,C398,2,15,f,100,8,9,11,16,9.187777778,551.2666667,153.1877778,9,11,29,9.191388889,551.4833333,0.216666667,21.66666667,0.216666667,4,3,0.625,5773,5776,5778,1.306,1.326,1.365
20160718,18,53,20160712,6,6dAM,Y,9,28,12,9.47,153.47,C398,1,7,s,3.529411765,5,9,33,30,9.558333333,573.5,153.5583333,9,34,14,9.570555556,574.2333333,0.733333333,2.588235294,0.733333333,1,1,0.8,5782,5783,5784,1.309,1.287,1.276
20160718,18,54,20160712,6,6dAM,Y,9,45,9,9.7525,153.7525,C400,2,10,c,30,10,9,50,30,9.841666667,590.5,153.8416667,9,50,44,9.845555556,590.7333333,0.233333333,7,0.233333333,0,0,1,5785,5787,5788,1.24,1.225,1.253
20160718,19,55,20160712,6,6dAM,N,9,55,30,9.925,153.925,C402,2,5,c,30,5,10,0,35,10.00972222,600.5833333,154.0097222,10,0,55,10.01527778,600.9166667,0.333333333,10,0.333333333,0,0,1,5790,5792,5794,1.183,1.243,1.21
20160719,19,56,20160713,6,6dAM,N,9,0,57,9.015833333,153.0158333,C408,1,9,f,100,3,9,6,17,9.104722222,546.2833333,153.1047222,9,6,23,9.106388889,546.3833333,0.1,10,0.1,1,1,0.666666667,5821,5826,5827,1.257,1.228,1.14
20160719,19,57,20160713,6,6dAM,N,9,20,9,9.335833333,153.3358333,C409,2,7,s,3.529411765,2,9,25,33,9.425833333,565.55,153.4258333,9,25,48,9.43,565.8,0.25,0.882352941,0.25,1,1,0.5,5828,5829,5830,1.29,1.265,1.255
20160719,20,63,20160713,6,6dAM,N,11,1,45,11.02916667,155.0291667,C421,1,7,f,100,3,11,6,50,11.11388889,666.8333333,155.1138889,11,9,22,11.15611111,669.3666667,2.533333333,253.3333333,2.533333333,1,0,1,5852,5854,5856,1.185,1.167,1.25
20160812,20,106,20160806,6,6dAM,N,10,15,16,10.25444444,154.2544444,C583,2,5,c,30,4,10,20,49,10.34694444,620.8166667,154.3469444,10,20,55,10.34861111,620.9166667,0.1,3,0.1,1,1,0.75,6708,6709,6710,1.236,1.244,1.226
20160719,20,58,20160713,6,6dAM,N,9,35,10,9.586111111,153.5861111,C410,2,8,s,3.529411765,2,9,40,15,9.670833333,580.25,153.6708333,9,41,8,9.685555556,581.1333333,0.883333333,3.117647059,0.883333333,1,0,1,5831,5832,5833,1.315,1.32,1.276
20160719,21,59,20160713,6,6dAM,Y,9,49,50,9.830555556,153.8305556,C412,4,11,f,100,7,9,55,0,9.916666667,595,153.9166667,9,55,30,9.925,595.5,0.5,50,0.5,3,3,0.571428571,5835,5837,5839,1.283,1.146,1.25
20160719,21,60,20160713,6,6dAM,Y,10,6,45,10.1125,154.1125,C412,1,10,s,3.529411765,8,10,12,3,10.20083333,612.05,154.2008333,10,12,18,10.205,612.3,0.25,0.882352941,0.25,3,3,0.625,5842,5843,5845,1.257,1.295,1.211
20160719,21,61,20160713,6,6dAM,Y,10,23,7,10.38527778,154.3852778,C424,1,14,c,30,8,10,28,30,10.475,628.5,154.475,10,28,50,10.48055556,628.8333333,0.333333333,10,0.333333333,1,1,0.875,5846,5847,5848,1.241,1.238,1.19
20160719,22,62,20160713,6,6dAM,Y,10,39,30,10.65833333,154.6583333,C421,2,6,s,3.529411765,6,10,44,53,10.74805556,644.8833333,154.7480556,10,45,29,10.75805556,645.4833333,0.6,2.117647059,0.6,1,1,0.833333333,5849,5850,5851,1.245,1.231,1.229
20160719,22,64,20160713,6,6dAM,Y,11,18,22,11.30611111,155.3061111,C408,2,8,f,100,6,11,23,22,11.38944444,683.3666667,155.3894444,11,24,20,11.40555556,684.3333333,0.966666667,96.66666667,0.966666667,1,1,0.833333333,5858,5860,5862,1.306,1.296,1.294
20160719,22,65,20160713,6,6dAM,Y,11,50,25,11.84027778,155.8402778,C423,1,8,c,30,5,11,56,0,11.93333333,716,155.9333333,11,56,26,11.94055556,716.4333333,0.433333333,13,0.433333333,0,0,1,5864,5865,5868,1.199,1.276,1.288
20160812,23,107,20160806,6,6dAM,N,10,30,50,10.51388889,154.5138889,C579,2,7,c,30,5,10,36,24,10.60666667,636.4,154.6066667,10,36,50,10.61388889,636.8333333,0.433333333,13,0.433333333,1,1,0.8,6715,6717,6718,1.282,1.291,1.192
